"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSDARG00000018264",11.4699044347125,5.13174303018469,1.08504346728637,4.72952760410501,2.25042856663476e-06,7.86661634424659e-05,"trim101","445187"
"ENSDARG00000046079",5.36612752880789,4.95697938263471,1.36907349412732,3.62068172665515,0.000293827786437826,0.00597295895141883,"cacng6b","100003220"
"ENSDARG00000089749",3.53207373329897,4.76653544654959,1.49928048657126,3.17921528976229,0.0014767436356762,0.0231162880459026,"aqp8b","555598"
"ENSDARG00000045633",3.66792831772773,4.5606428146824,1.35468645425942,3.36656707560838,0.000761100700933782,0.0133250574493432,"asb15a","100151067"
"ENSDARG00000059003",3.9397855923657,4.37908028946673,1.32307450588785,3.3097760330044,0.000933706501681204,0.015760295551216,"strip2","556392"
"ENSDARG00000019753",3.37053699559299,4.1495144124354,1.55027341363774,2.67663392530127,0.00743658383320803,0.0825604430495745,"kcnn3","570138"
"ENSDARG00000033854",5.25529196072816,4.12700555146165,1.14679551072338,3.59872838084133,0.000319776959808224,0.00641401376552413,"abrab","445477"
"ENSDARG00000067995",129.128978964042,4.02409299673743,0.236953592926895,16.9826207192349,1.10442308327598e-64,5.19430256484389e-62,"myhz1.2","799300"
"ENSDARG00000002589",291.977039934815,3.98339736292077,0.18526192388917,21.5014358012593,1.50945127673766e-102,1.73536581782273e-99,"mylpfb","447930"
"ENSDARG00000086647",9.28105355258815,3.90609817813431,0.82432943504318,4.73851595258114,2.15289083396078e-06,7.62875392431241e-05,"chrng","100536659"
"ENSDARG00000067990",348.299455065186,3.81652129407999,0.195807580357881,19.4911825533234,1.30431823747808e-84,8.99718720212378e-82,"myhz1.1","58142"
"ENSDARG00000022817",9.97069539604542,3.78958779170823,0.7548747561452,5.02015435124619,5.16299760373148e-07,2.06260757551388e-05,"pvalb3","100000771"
"ENSDARG00000079122",24.3903052718149,3.78500714063779,0.50028729921919,7.56566706079714,3.85879234408655e-14,3.73148826021154e-12,"tmx2a","561718"
"ENSDARG00000070157",49.3460875606762,3.72118035758763,0.348249301362777,10.6853921688452,1.1914442806308e-26,2.20140606637266e-24,"tgm2a","447909"
"ENSDARG00000071445",53.407710442765,3.70851805264775,0.337980132731711,10.9725918582072,5.17668392057275e-28,9.91910157891967e-26,"myoz1b","436720"
"ENSDARG00000034307",8.22692256013743,3.68752523497498,0.853134339449381,4.32232658382376,1.54392425620028e-05,0.000441297908257026,"chrne","445315"
"ENSDARG00000008732",14.6896016956399,3.67109785055929,0.636382809233946,5.76869424706557,7.98880943502882e-09,4.28291249866545e-07,"zgc:66479","327541"
"ENSDARG00000067997",395.945318182931,3.63396104086351,0.179323266704565,20.2648608161396,2.62702319692977e-91,2.2651507515527e-88,"myhz1.3","100008070"
"ENSDARG00000002768",501.930346458245,3.63189893124086,0.177338623417647,20.4800221251714,3.24510970617066e-93,3.05246819361343e-90,"pvalb2","58028"
"ENSDARG00000005526",8.85765358042222,3.61359816771425,0.794463361495482,4.54847679937321,5.40355991391896e-06,0.000174176431243986,"igfn1.1","541504"
"ENSDARG00000014196",842.423482942295,3.60779602610001,0.253917064997381,14.2085606815644,8.10747510385304e-46,2.33022346943243e-43,"myl1","336165"
